run	hive_metric	application	version_note	note	start_date	end_date	condition_1	condition_2	condition_3	condition_4	condition_5	condition_6
TRUE	AP_enroll_abandon_core	MySpectrum					visit__application_details__application_name = 'MySpectrum'	message__name = 'featureStop'	message__feature__feature_name = 'autoPayEnrollment'	message__feature__feature_step_name = 'enrollmentAbandon'		
TRUE	AP_enroll_failure_core	MySpectrum|SMB|SpecNet	N/A|N/A|N/A	m1|N/A|N/A			(visit__application_details__application_name = 'MySpectrum' AND message__name = 'featureStop' AND message__feature__feature_name = 'autoPayEnrollment' AND operation__success = FALSE) OR (visit__application_details__application_name = 'SMB' AND message__name = 'featureStop' AND message__feature__feature_name = 'autoPayEnrollment' AND message__feature__feature_step_name in ('enrollmentWithPaymentFailure', 'enrollmentFailure') AND operation__success = FALSE) OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStop' AND message__feature__feature_name = 'autoPayEnrollment' AND message__feature__feature_step_name in ('enrollmentWithPaymentFailure', 'enrollmentFailure') AND operation__success = FALSE)					
TRUE	AP_enroll_start_core	MySpectrum|SMB|SpecNet	sane as m1 flow, just with one added entry point|m2 same as m1 flow|m2 same as m1 flow	m1|m1|m1			(visit__application_details__application_name = 'MySpectrum' AND message__name = 'featureStart' AND message__feature__feature_name = 'autoPayEnrollment' AND message__feature__feature_step_name = 'autoPayEnrollStart') OR (visit__application_details__application_name = 'SMB' AND message__name = 'featureStart' AND message__feature__feature_name = 'autoPayEnrollment') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStart' AND message__feature__feature_name = 'autoPayEnrollment')					
TRUE	AP_enroll_submit_core	SMB|SpecNet	m2 same as m1 flow|m2 same as m1 flow	m1|m1			(visit__application_details__application_name = 'SMB' AND message__name = 'selectAction' AND message__feature__feature_name = 'autoPayEnrollment' AND message__feature__feature_step_name in ('enrollWithBalanceConfirm', 'enrollNoBalanceConfirm')) OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'selectAction' AND message__feature__feature_name = 'autoPayEnrollment' AND message__feature__feature_step_name in ('enrollWithBalanceConfirm', 'enrollNoBalanceConfirm'))					
TRUE	AP_enroll_success_core	MySpectrum|SMB|SpecNet	N/A|m2 same as m1 flow|m2 same as m1 flow	m1|m1|m1			(visit__application_details__application_name = 'MySpectrum' AND message__name = 'featureStop' AND message__feature__feature_name = 'autoPayEnrollment' AND operation__success = TRUE) OR (visit__application_details__application_name = 'SMB' AND message__name = 'featureStop' AND message__feature__feature_name = 'autoPayEnrollment') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStop' AND message__feature__feature_name = 'autoPayEnrollment' AND message__feature__feature_step_name in ('enrollmentWithPaymentSuccess', 'enrollmentSuccess'))					
TRUE	AP_manage_failure	MySpectrum|SMB|SpecNet	N/A|N/A|N/A	N/A|N/A|N/A			(visit__application_details__application_name = 'MySpectrum' AND message__name = 'featureStop' AND message__feature__feature_name = 'autoPayManagement' AND operation__success = FALSE AND message__event_case_id <> 'mySpectrum_featureStop_billing_autoPay_managementAbandon') OR (visit__application_details__application_name = 'SMB' AND message__name = 'featureStop' AND message__feature__feature_name = 'autoPayManagement' AND operation__success = FALSE) OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStop' AND message__feature__feature_name = 'autoPayManagement' AND operation__success = FALSE)					
TRUE	AP_manage_start	MySpectrum|SMB|SpecNet	N/A|N/A|N/A	N/A|N/A|N/A			(visit__application_details__application_name = 'MySpectrum' AND message__name = 'featureStart' AND message__feature__feature_name = 'autoPayManagement') OR (visit__application_details__application_name = 'SMB' AND message__name = 'featureStart' AND message__feature__feature_name = 'autoPayManagement') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStart' AND message__feature__feature_name = 'autoPayManagement')					
TRUE	AP_manage_success	MySpectrum|SMB|SpecNet	N/A|N/A|N/A	N/A|N/A|N/A			(visit__application_details__application_name = 'MySpectrum' AND message__name = 'featureStop' AND message__feature__feature_name = 'autoPayManagement' AND operation__success = TRUE) OR (visit__application_details__application_name = 'SMB' AND message__name = 'featureStop' AND message__feature__feature_name = 'autoPayManagement' AND operation__success = TRUE) OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStop' AND message__feature__feature_name = 'autoPayManagement' AND operation__success = TRUE)					
TRUE	CPNI_cancel	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'verifyAccountCancel') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'verifyAccountCancel')					
TRUE	CPNI_failure	MySpectrum|SMB|SpecNet	N/A|N/A|N/A	https://jira.charter.com/browse/XGANALYTIC-26511|N/A|N/A			(visit__application_details__application_name = 'MySpectrum' AND message__name in ('modalView', 'pageView') AND state__view__modal__name = 'verifyYourAccountFailure' OR state__view__current_page__page_name = 'verificationError') OR (visit__application_details__application_name = 'SMB' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountFailure') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountFailure')					
