run	hive_metric	application	version_note	note	start_date	end_date	condition_1	condition_2	condition_3	condition_4	condition_5	condition_6
FALSE	aggregate_placeholder	placeholder_1|placeholder_2	N/A|N/A	N/A|N/A			(test_2 AND test_3) OR (test_2 AND test_3)					
FALSE	ccpa_agree_and_continue_clicks	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'selectAction'	state__view__current_page__elements__standardized_name = 'agreeAndContinue'	state__view__current_page__page_name = 'ccpaChoiceForm'		
FALSE	ccpa_choice_form_direct_pageviews	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'pageView'	state__view__current_page__page_name = 'ccpaChoiceForm'			
FALSE	ccpa_flow_complete_successes_pageviews	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'pageView'	state__view__current_page__page_name = 'ccpaSuccess'			
FALSE	ccpa_it_request_ticket_submission_server_4xx_error_counts	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_type = 'ccpaVerification'	application__error__error_code = 'CPIT-1002'		
FALSE	ccpa_it_request_ticket_submission_server_5xx_error_counts	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_type = 'ccpaVerification'	application__error__error_code = 'CPIT-1001'		
FALSE	ccpa_it_request_ticket_submission_user_failed_verification_error_counts	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_type = 'ccpaVerification'	application__error__error_code = 'CPIT-1000'		
FALSE	ccpa_kba_identity_question_pageviews	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'pageView'	state__view__current_page__page_name = 'ccpaKbaVerificationQuestion'			
FALSE	ccpa_kba_speedbump_warning_continue_clicks	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'selectAction'	state__view__current_page__elements__standardized_name = 'continue'	message__event_case_id = 'privacyMicrosite_selectAction_kbaIntro_continue'		
FALSE	ccpa_kba_speedbump_warning_pageviews	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'pageView'	state__view__current_page__page_name = 'ccpaKbaIntro'			
FALSE	ccpa_kba_successfully_authenticated_counts	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	((message__name = 'pageView' AND state__view__current_page__page_name = 'ccpaSuccess') OR (message__name = 'error' AND application__error__error_type = 'ccpaVerification' AND application__error__error_code = 'CPIT-1000'))				
FALSE	ccpa_kba_user_failed_verification_24hrcooldown_error_counts	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_type = 'ccpaVerification'	application__error__error_code = 'CPKB-1002'		
FALSE	ccpa_kba_user_failed_verification_generic_error_counts	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_type = 'ccpaVerification'	application__error__error_code = 'CPKB-1000'		
FALSE	ccpa_kba_user_failed_verification_timeout_error_counts	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_type = 'ccpaVerification'	application__error__error_code = 'CPKB-1001'		
FALSE	ccpa_lexisnexis_server_error_4xx_after_kba_verification_error_counts	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_type = 'ccpaVerification'	application__error__error_code = 'CPLN-1003'		
FALSE	ccpa_lexisnexis_server_error_5xx_after_kba_verification_error_counts	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_type = 'ccpaVerification'	application__error__error_code = 'CPLN-1001'		
FALSE	ccpa_lexisnexis_user_not_found_error_counts	PrivacyMicrosite			False		visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_type = 'ccpaVerification'	application__error__error_code = 'CPLN-1004'		
