visits_calls.application_name	visits_calls.current_app_section	visits_calls.partition_date_utc	visits_calls.source_system	visits_calls.count_of_sectionviews_with_calls	visits_calls.count_of_distinct_visits_with_calls	visits_calls.mso	visits_total.application_name	visits_total.current_app_section	visits_total.partition_date_utc	visits_total.source_system	visits_total.total_sectionviews	visits_total.total_distinct_visits	visits_total.mso
SPECNET	voice	2019-03-21	QUANTUM	13	2	UNKNOWN	SPECNET	voice	2019-03-21	QUANTUM	4796	143	UNKNOWN
SPECNET	voice	2019-03-21	QUANTUM	2	1	L-TWC	SPECNET	voice	2019-03-21	QUANTUM	31	3	L-TWC
SPECNET	voice	2019-03-21	QUANTUM	499	268	L-CHTR	SPECNET	voice	2019-03-21	QUANTUM	43733	2664	L-CHTR
SPECNET	verifyYourAccount	2019-03-21	QUANTUM	279	127	L-CHTR	SPECNET	verifyYourAccount	2019-03-21	QUANTUM	15320	863	L-CHTR
SPECNET	verifyYourAccount	2019-03-21	QUANTUM	4	1	L-TWC	SPECNET	verifyYourAccount	2019-03-21	QUANTUM	180	3	L-TWC
SPECNET	verifyYourAccount	2019-03-21	QUANTUM	19	3	UNKNOWN	SPECNET	verifyYourAccount	2019-03-21	QUANTUM	476	28	UNKNOWN
SPECNET	tv	2019-03-21	QUANTUM	1716	892	L-CHTR	SPECNET	tv	2019-03-21	QUANTUM	144692	7760	L-CHTR
SPECNET	support	2019-03-21	QUANTUM	13994	3291	L-CHTR	SPECNET	support	2019-03-21	QUANTUM	450952	16884	L-CHTR
SPECNET	settings	2019-03-21	QUANTUM	2906	1332	L-CHTR	SPECNET	settings	2019-03-21	QUANTUM	243749	12158	L-CHTR
SPECNET	settings	2019-03-21	QUANTUM	47	3	UNKNOWN	SPECNET	settings	2019-03-21	QUANTUM	167520	13037	UNKNOWN
SPECNET	search	2019-03-21	QUANTUM	1162	621	L-CHTR	SPECNET	search	2019-03-21	QUANTUM	44171	2631	L-CHTR
SPECNET	maintenance	2019-03-21	QUANTUM	3	2	L-CHTR	SPECNET	maintenance	2019-03-21	QUANTUM	879	86	L-CHTR
SPECNET	internet	2019-03-21	QUANTUM	2790	1136	L-CHTR	SPECNET	internet	2019-03-21	QUANTUM	288259	11614	L-CHTR
SPECNET	home	2019-03-21	QUANTUM	2305	1316	L-CHTR	SPECNET	home	2019-03-21	QUANTUM	1198391	119245	L-CHTR
SPECNET	home	2019-03-21	QUANTUM	9	2	UNKNOWN	SPECNET	home	2019-03-21	QUANTUM	5635318	261367	UNKNOWN
SPECNET	billing	2019-03-21	QUANTUM	8106	3709	L-CHTR	SPECNET	billing	2019-03-21	QUANTUM	2305315	73722	L-CHTR
SPECNET	accountSummary	2019-03-21	QUANTUM	16985	8065	L-CHTR	SPECNET	accountSummary	2019-03-21	QUANTUM	5564598	226725	L-CHTR
SPECNET	accountSummary	2019-03-21	QUANTUM	4	2	UNKNOWN	SPECNET	accountSummary	2019-03-21	QUANTUM	275391	21251	UNKNOWN
