domain              	string              	                    
customer            	string              	                    
received__timestamp 	bigint              	                    
unfinished_created_timestamp	bigint              	                    
finished_created_timestamp	bigint              	                    
visit__visit_id     	string              	                    
visit__previous_visit_id	string              	                    
visit__visit_start_timestamp	bigint              	                    
visit__visit_startup_time_ms	int                 	                    
visit__external_app__app_vendor	string              	                    
visit__external_app__app_name	string              	                    
visit__external_app__entitled	boolean             	                    
visit__external_app__channel_number	string              	                    
visit__application_statistics__days_since_first_use	int                 	                    
visit__application_statistics__days_since_last_use	int                 	                    
visit__application_statistics__launches	int                 	                    
visit__application_statistics__launches_since_upgrade	int                 	                    
visit__application_statistics__days_since_last_upgrade	int                 	                    
visit__device__vendor_id	map<string,string>  	                    
visit__device__device_form_factor	string              	                    
visit__device__device_type	string              	                    
visit__device__model	string              	                    
visit__device__operating_system	string              	                    
visit__device__uuid 	string              	                    
visit__device__available_storage	string              	                    
visit__device__device_build	string              	                    
visit__device__stb_is_dvr	boolean             	                    
visit__device__stb_name	string              	                    
visit__device__stb_device_id	string              	                    
visit__device__stb_old_name	string              	                    
visit__device__browser__name	string              	                    
visit__device__browser__version	string              	                    
visit__device__browser__user_agent	string              	                    
visit__device__linked_device__dvr_capable	boolean             	                    
visit__device__linked_device__name	string              	                    
visit__device__linked_device__id	string              	                    
visit__login__oauth_expiration_timestamp	bigint              	                    
visit__login__failed_attempts	int                 	                    
visit__login__login_duration_ms	int                 	                    
visit__login__login_completed_timestamp	bigint              	                    
visit__video_zone__details	map<string,string>  	                    
visit__video_zone__division	string              	                    
visit__video_zone__lineup	string              	                    
visit__isp__ip_address	string              	                    
visit__isp__location_id	string              	                    
visit__isp__organization	string              	                    
visit__isp__isp     	string              	                    
visit__isp__status  	string              	                    
visit__connection__connection_type	string              	                    
visit__connection__network_status	string              	                    
visit__connection__network_cell_carrier	string              	                    
visit__connection__network_cell_network_type	string              	                    
visit__connection__speed_test__output	string              	                    
visit__connection__speed_test__start_timestamp	bigint              	                    
visit__connection__speed_test__end_timestamp	bigint              	                    
visit__account__oauth_token	string              	                    
visit__account__account_number	string              	                    
visit__account__address__address_type	string              	                    
visit__account__address__city	string              	                    
visit__account__address__state	string              	                    
visit__account__address__zip_code	string              	                    
visit__account__status	string              	                    
visit__account__account_billing_division	string              	                    
visit__account__account_billing_id	string              	                    
visit__account__account_billing_division_id	string              	                    
visit__account__account_in_test_division	string              	                    
visit__account__demographic_data	string              	                    
visit__account__acct_number_details	map<string,string>  	                    
visit__account__details__account_cdvr	string              	                    
visit__account__details__account_accessibility	string              	                    
visit__account__details__account_ip_tv_trial	string              	                    
visit__account__details__expiration_date	string              	                    
visit__account__details__session_expiration_date	string              	                    
visit__account__details__api_key	string              	                    
visit__account__details__mso	string              	                    
visit__account__details__session_id	string              	                    
visit__account__details__customer	string              	                    
visit__account__details__creation_date	string              	                    
visit__account__details__account_type	string              	                    
visit__account__details__account	string              	                    
visit__account__subscription__service_level	string              	                    
visit__user__id     	string              	                    
visit__user__role   	string              	                    
visit__user__is_test_user	boolean             	                    
visit__user__is_white_listed	boolean             	                    
visit__user__details	map<string,string>  	                    
visit__user__status 	string              	                    
visit__location__country_code	string              	                    
visit__location__country_name	string              	                    
visit__location__region	string              	                    
visit__location__region_name	string              	                    
visit__location__city	string              	                    
visit__location__state	string              	                    
visit__location__zip_code	string              	                    
visit__location__latitude	string              	                    
visit__location__longitude	string              	                    
visit__location__metro_code	string              	                    
visit__location__time_zone	string              	                    
visit__location__status	string              	                    
visit__fips__fips_codes	string              	                    
visit__fips__fips_county	string              	                    
visit__fips__fips_county_section	string              	                    
visit__fips__fips_national	string              	                    
visit__fips__fips_state	string              	                    
visit__application_details__referrer_link	string              	                    
visit__application_details__application_name	string              	                    
visit__application_details__platform_type	string              	                    
visit__application_details__application_type	string              	                    
visit__application_details__drm_enabled	boolean             	                    
visit__application_details__app_version	string              	                    
visit__application_details__venona_version	string              	                    
visit__application_details__venona_requirements_version	string              	                    
visit__application_details__environment	map<string,string>  	                    
visit__screen_resolution	string              	                    
visit__talking_guide	boolean             	                    
visit__application_details__app_display_definition	string              	                    
visit__settings     	map<string,string>  	                    
application__error__error_type	string              	                    
application__error__error_code	string              	                    
application__error__error_message	string              	                    
application__error__error_extras	map<string,string>  	                    
application__api__response_code	string              	                    
application__api__service_result	string              	                    
application__api__response_text	string              	                    
application__api__response_time_ms	int                 	                    
application__api__host	string              	                    
application__api__path	string              	                    
application__api__api_name	string              	                    
application__api__api_category	string              	                    
application__api__http_verb	string              	                    
application__api__api_cached	boolean             	                    
application__api__query_parameters	string              	                    
application__api__trace_id	string              	                    
message__category   	string              	                    
message__name       	string              	                    
message__sequence_number	int                 	                    
message__timestamp  	bigint              	                    
message__triggered_by	string              	                    
message__triggered_using	string              	                    
message__feature__feature_name	string              	                    
message__feature__current_step	int                 	                    
message__feature__number_of_steps	int                 	                    
state__name         	string              	                    
state__entry_timestamp	bigint              	                    
state__entry_video_position	int                 	                    
state__current_video_position	int                 	                    
state__content_position_percent	double              	                    
state__previous_state__name	string              	                    
state__previous_state__entry_timestamp	bigint              	                    
state__previous_state__entry_video_position	int                 	                    
state__previous_state__exit_timestamp	bigint              	                    
state__previous_state__exit_video_position	int                 	                    
state__playback__playback_started_timestamp	bigint              	                    
state__playback__playback_selected_timestamp	bigint              	                    
