run	comment	label1	label2	label3	label4	label5	condition1	condition2	condition3	condition4	condition5
TRUE	1a1	CL-55	EQUIPMENT	From Homepage Banner	Internet		message__category = 'Custom Link'	LOWER(message__name) IN ('upgrade-internet-banner')			
TRUE	1a2	CL-55	EQUIPMENT	From Homepage Banner	TV		message__category = 'Custom Link'	LOWER(message__name) IN ('upgrade-tv-banner')			
TRUE	1a3	CL-55	EQUIPMENT	From Homepage Banner	Voice		message__category = 'Custom Link'	LOWER(message__name) IN ('upgrade-voice-banner')			
TRUE	1b1	CL-55	EQUIPMENT	From Local Nav	Internet		message__category = 'Custom Link'	LOWER(message__name) IN ('localnav-internet')			
TRUE	1b2	CL-55	EQUIPMENT	From Local Nav	TV		message__category = 'Custom Link'	LOWER(message__name) IN ('localnav-tv')			
TRUE	1b3	CL-55	EQUIPMENT	From Local Nav	Voice		message__category = 'Custom Link'	LOWER(message__name) IN ('localnav-voice')			
TRUE	1c	CL-55	EQUIPMENT	From Support	Internet		message__category = 'Page View'	LOWER(state__view__current_page__name) IN ('my-internet-services')	LOWER(state__view__previous_page__section) RLIKE '.*support.*'		
TRUE	1c	CL-55	EQUIPMENT	From Support	TV		message__category = 'Page View'	LOWER(state__view__current_page__name) IN ('my-tv-services')	LOWER(state__view__previous_page__section) RLIKE '.*support.*'		
TRUE	1c	CL-55	EQUIPMENT	From Support	Voice		message__category = 'Page View'	LOWER(state__view__current_page__name) IN ('my-voice-services')	LOWER(state__view__previous_page__section) RLIKE '.*support.*'		
TRUE	2a1	CL-55	EQUIPMENT	Reset Start	TV	Pre	message__category <> 'Page View'	LOWER(message__name) = 'refresh'			
TRUE	2a2	CL-55	EQUIPMENT	Reset Start	TV	Post	message__category = 'Custom Link'	LOWER(message__name) = 'equip.tv.troubleshoot.reset-equip.start'			
TRUE	2b1	CL-55	EQUIPMENT	Reset Complete	TV	Pre	message__category = 'Custom Link'	LOWER(message__name) = 'refresh-status'	LOWER(operation__type) = 'success'		
TRUE	2b2	CL-55	EQUIPMENT	Reset Complete	TV	Post	message__category = 'Page View'	LOWER(state__view__current_page__name) = 'reset-equipment-tv-success'			
TRUE	2c1	CL-55	EQUIPMENT	Reset Start	Internet	Pre	message__category = 'Page View'	"LOWER(state__view__current_page__name) IN ('reset-equipment-wifi','reset-modem-internetvoice')"			
TRUE	2c2	CL-55	EQUIPMENT	Reset Start	Internet	Post	message__category = 'Custom Link'	LOWER(message__name) = 'equip.internet.troubleshoot.reset-equip.start'			
TRUE	2d1 reset	CL-55	EQUIPMENT	Reset Complete	Internet	Pre	message__category = 'Page View'	"LOWER(state__view__current_page__name) IN ('test-connection-wifi','test-connection-internetvoice','test-connection-internet')"			
TRUE	2d2 reset	CL-55	EQUIPMENT	Reset Complete	Internet	Post	message__category = 'Page View'	LOWER(state__view__current_page__name) = 'reset-equipment-internet-success'			
TRUE	2e1 reset	CL-55	EQUIPMENT	Reset Start	Voice	Pre	message__category = 'Page View'	LOWER(state__view__current_page__name) IN ('reset-modem-voice')			
TRUE	2e2 reset	CL-55	EQUIPMENT	Reset Start	Voice	Post	message__category = 'Custom Link'	LOWER(message__name) = 'equip.voice.troubleshoot.reset-equip.start'			
TRUE	2f1 reset	CL-55	EQUIPMENT	Reset Complete	Voice	Pre	message__category = 'Page View'	"LOWER(state__view__current_page__name) IN ('test-connection-voice', 'test-connection-internetvoice')"			
TRUE	2f2 reset	CL-55	EQUIPMENT	Reset Complete	Voice	Post	message__category = 'Page View'	LOWER(state__view__current_page__name) IN ('reset-equipment-voice-success')			
TRUE	3a	CL-55	EQUIPMENT	Ask Spectrum	from My Tv Services		message__category = 'Custom Link'	"LOWER(message__name) IN ('open-ask-spectrum','ask-spectrum')"	state__view__current_page__name = 'my-tv-services'		
TRUE	3b	CL-55	EQUIPMENT	Ask Spectrum	from My Internet Services		message__category = 'Custom Link'	"LOWER(message__name) IN ('open-ask-spectrum','ask-spectrum')"	state__view__current_page__name = 'my-internet-services'		
TRUE	3c	CL-55	EQUIPMENT	Ask Spectrum	from My Voice Services		message__category = 'Custom Link'	"LOWER(message__name) IN ('open-ask-spectrum','ask-spectrum')"	state__view__current_page__name = 'my-voice-services'		
TRUE	5a	CL-55	EQUIPMENT	Upgrade Service	TV		message__category = 'Custom Link'	LOWER(message__name) IN ('equipment.tv.upgrade-service')			
TRUE	5a	CL-55	EQUIPMENT	Upgrade Service	Internet		message__category = 'Custom Link'	LOWER(message__name) IN ('equipment.internet.upgrade-service')			
TRUE	5a	CL-55	EQUIPMENT	Upgrade Service	Voice		message__category = 'Custom Link'	LOWER(message__name) IN ('equipment.voice.upgrade-service')			
TRUE	5b	CL-55	EQUIPMENT	View Support Video	TV	view-troubleshooting-video	message__category = 'Custom Link'	LOWER(message__name) IN ('equipment.tv.view-troubleshooting-video')			
