run	hive_metric	application	version_note	note	start_date	end_date	condition_1	condition_2	condition_3	condition_4	condition_5	condition_6
TRUE	CPCA_0000_captcha_validation_unspecified_captcha_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPCA-0000'			
TRUE	CPCA_1000_captcha_validation_failed_captcha_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPCA-1000'			
TRUE	CPCX_0000_citrix_unspecified_citrix_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPCX-0000'			
TRUE	CPCX_1000_citrix_invalid_file_type_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPCX-1000'			
TRUE	CPCX_1001_citrix_upload_failed_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPCX-1001'			
TRUE	CPCX_1002_citrix_file_delete_failed_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPCX-1002'			
TRUE	CPCX_1003_citrix_file_size_too_large_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPCX-1003'			
TRUE	CPCX_1004_citrix_file_update_failed_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPCX-1004'			
TRUE	CPGE_1000_privacy_api_generic_api_failure_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPGE-1000'			
TRUE	CPGE_1001_generic_timeout_attempt_post_requisition_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPGE-1001'			
TRUE	CPGE_1002_generic_timeout_attempt_put_requisition_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPGE-1002'			
TRUE	CPGE_1003_generic_timeout_attempt_post_document_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPGE-1003'			
TRUE	CPGE_1004_4xx5xx_server_error_attempt_post_requisition_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPGE-1004'			
TRUE	CPGE_1005_4xx5xx_server_error_attempt_put_requisition_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	 application__error__error_code = 'CPGE-1005'			
TRUE	CPGE_1006_4xx5xx_server_error_attempt_post_document_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPGE-1006'			
TRUE	CPGE_1007_malformed_response_from_server_with_200_status_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPGE-1007'			
TRUE	CPIT_0000_it_privacy_api_issue_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPIT-0000'			
TRUE	CPIT_1000_it_request_ticket_submission_user_failed_verification_2x12_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPIT-1000'			
TRUE	CPIT_1001_it_request_ticket_submission_server_5xx_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPIT-1001'			
TRUE	CPIT_1002_it_request_ticket_request_guid_not_received_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPIT-1002'			
TRUE	CPIT_1003_it_request_ticket_unexpected_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPIT-1003'			
TRUE	CPIT_1004_it_request_ticket_duplicate_requests_by_same_user_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPIT-1004'			
TRUE	CPKB_0000_general_error_in_orchestrator_error_counts	PrivacyMicrosite					visit__application_details__application_name ='PrivacyMicrosite'	message__name = 'error'	application__error__error_code = 'CPKB-0000'			
