|Calendar_Date|Road_Way|Location_ID|Location_Name       |Lane_ID|Lane_Name   |
|-------------|--------|-----------|--------------------|-------|------------|
|2024-05-01   |E470    |0          |Undefined (Reserved)|       |            |
|2024-05-01   |E470    |10         |GARTRELL RD         |       |            |
|2024-05-01   |E470    |11         |6TH PKWY            |       |            |
|2024-05-01   |E470    |12         |SMOKY HILL RD       |       |            |
|2024-05-01   |E470    |13         |QUINCY RD           |       |            |
|2024-05-01   |E470    |14         |JEWELL AVE          |       |            |
|2024-05-01   |E470    |4          |PLAZA D             |1      |Lane 1 North|
|2024-05-01   |E470    |4          |PLAZA D             |2      |Lane 2 North|
|2024-05-01   |E470    |4          |PLAZA D             |9      |Lane 9 North|
|2024-05-01   |E470    |4          |PLAZA D             |21     |Lane 1 South|
|2024-05-01   |E470    |4          |PLAZA D             |22     |Lane 2 South|
|2024-05-01   |E470    |4          |PLAZA D             |29     |            |
|2024-05-01   |E470    |9          |104TH AVE           |1      |Lane 1 North|
|2024-05-02   |E470    |0          |Undefined (Reserved)|       |            |
|2024-05-02   |E470    |10         |GARTRELL RD         |       |            |
|2024-05-02   |E470    |11         |6TH PKWY            |       |            |
|2024-05-02   |E470    |12         |SMOKY HILL RD       |       |            |
|2024-05-02   |E470    |13         |QUINCY RD           |       |            |
|2024-05-02   |E470    |14         |JEWELL AVE          |       |            |
|2024-05-02   |E470    |4          |PLAZA D             |1      |Lane 1 North|
|2024-05-02   |E470    |4          |PLAZA D             |2      |Lane 2 North|
|2024-05-02   |E470    |4          |PLAZA D             |9      |Lane 9 North|
|2024-05-02   |E470    |4          |PLAZA D             |21     |Lane 1 South|
|2024-05-02   |E470    |4          |PLAZA D             |22     |Lane 2 South|
|2024-05-02   |E470    |4          |PLAZA D             |29     |            |
|2024-05-02   |E470    |9          |104TH AVE           |1      |Lane 1 North|
|2024-05-03   |E470    |0          |Undefined (Reserved)|       |            |
|2024-05-03   |E470    |10         |GARTRELL RD         |       |            |
|2024-05-03   |E470    |11         |6TH PKWY            |       |            |
|2024-05-03   |E470    |12         |SMOKY HILL RD       |       |            |
|2024-05-03   |E470    |13         |QUINCY RD           |       |            |
|2024-05-03   |E470    |14         |JEWELL AVE          |       |            |
|2024-05-03   |E470    |4          |PLAZA D             |1      |Lane 1 North|
|2024-05-03   |E470    |4          |PLAZA D             |2      |Lane 2 North|
|2024-05-03   |E470    |4          |PLAZA D             |9      |Lane 9 North|
|2024-05-03   |E470    |4          |PLAZA D             |21     |Lane 1 South|
|2024-05-03   |E470    |4          |PLAZA D             |22     |Lane 2 South|
|2024-05-03   |E470    |4          |PLAZA D             |29     |            |
|2024-05-03   |E470    |9          |104TH AVE           |1      |Lane 1 North|
|2024-05-04   |E470    |0          |Undefined (Reserved)|       |            |
|2024-05-04   |E470    |10         |GARTRELL RD         |       |            |
|2024-05-04   |E470    |11         |6TH PKWY            |       |            |
|2024-05-04   |E470    |12         |SMOKY HILL RD       |       |            |
|2024-05-04   |E470    |13         |QUINCY RD           |       |            |
|2024-05-04   |E470    |14         |JEWELL AVE          |       |            |
|2024-05-04   |E470    |4          |PLAZA D             |1      |Lane 1 North|
|2024-05-04   |E470    |4          |PLAZA D             |2      |Lane 2 North|
|2024-05-04   |E470    |4          |PLAZA D             |9      |Lane 9 North|
|2024-05-04   |E470    |4          |PLAZA D             |21     |Lane 1 South|
|2024-05-04   |E470    |4          |PLAZA D             |22     |Lane 2 South|
